drug_id,drug_seq
10,O=C1CCCCN1
100205,COc1ccc(Cl)cc1Nc1nc(cs1)-c1sc(NC(=O)C(C)(C)C)nc1C
100279,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c3nccn3cnc12
100283,O[C@@H]1CC(=C[C@@H](OP(O)(O)=O)[C@H]1O)C(O)=O
100348,COCC(=O)N1CCN(CC1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1
100349,CNC(=O)[C@H]1CCCN(C1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1
100350,CS(=O)(=O)N1CCN(CC1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1
100351,NC(=O)[C@@H]1CCCN(C1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1
102131,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102132,O=C1N(Cc2cccc3ccccc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102133,O=C1N(Cc2cccc3[nH]ccc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102134,O=C1N(Cc2cccc3OCCOc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102135,O=C1N(Cc2cccc(c2)-c2cccnc2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102136,O=C1N(Cc2ccccc2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102137,O=C1N(Cc2ccc3ccccc3c2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102138,O=C1N(Cc2ccc3OCOc3c2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102139,O=C1N(Cc2cccc3OCOc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102140,O=C1N(Cc2ccccc2)CCCC11CCN(CC1)c1nc2ccccc2[nH]1
102141,O=C1N(Cc2cccc3ccccc23)CCCC11CCN(CC1)c1nc2ccccc2[nH]1
102142,Cn1c(nc2ccccc12)N1CCC2(CCCN(Cc3cccc4ccccc34)C2=O)CC1
102143,Cc1cc2c(CN3CCCC4(CCN(CC4)c4cnc5ccccc5n4)C3=O)cccc2[nH]1
102144,FC(F)(F)c1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102145,Cc1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102151,O=C1N(Cc2cccc3cccnc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102152,O=C1N(Cc2cccc(c2)-c2ccccc2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102153,FC(F)(F)c1ccccc1CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O
102154,FC(F)(F)c1ccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)cc1
102155,O=C1N(Cc2ccc3OCCOc3c2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102157,Clc1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102164,Cc1onc(c1CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O)-c1ccccc1
102168,O=C1CCCC2(CCN(CC2)c2cnc3ccccc3n2)N1Cc1cccc2[nH]ccc12
102169,Cc1noc(n1)-c1ccccc1CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O
102171,Cc1ccc(C)c(CN2C(=O)CCCC22CCN(CC2)c2cnc3ccccc3n2)c1
102172,O=C1CCCC2(CCN(CC2)c2nc3ccccc3o2)N1Cc1cccc2[nH]ccc12
102173,O=C1CCCC2(CCN(CC2)c2cnc3ccccc3n2)N1Cc1c[nH]c2ccccc12
102174,Cn1ccc2c(CN3C(=O)CCCC33CCN(CC3)c3cnc4ccccc4n3)cccc12
102176,O=C1N(Cc2cccc(c2)-n2ccnn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
