drug_id,prot_id,affinity
82458,P31391,6.0
50227117,P35346,7.431798275933005
50286087,P19327,6.71669877129645
50334128,P35408,9.397940008672036
50408402,P35462,7.299988937677888
50017594,O35433,8.67778070526608
50366101,Q16790,6.107905397309519
50080836,P62993,7.346787486224656
50196191,P32239,7.494850021680094
50399589,P29274,6.61261017366127
124723,P42336,7.629431401232948
50105838,P31424,6.504455662453552
50144276,P41143,7.327902142064282
50230937,P43166,7.040958607678906
50535395,P22748,4.627087997029894
50545206,P21728,6.809668301829708
50354092,P14842,5.886056647693163
10888,P00918,7.322393047279506
50504901,P43166,9.69897000433602
50025862,P17538,5.6777807052660805
50166026,P30729,4.999956572723137
12649,P27487,6.086186147616283
50031924,P28564,5.886056647693163
50008841,P33535,9.844663962534938
50062754,P23977,6.586700235918748
50221825,P08183,6.040958607678906
50529397,P42336,4.999956572723137
182827,P56817,7.698970004336019
248881,Q9P1W9,8.41228903498109
50515785,O60885,6.037157318798758
50055829,P19328,5.920818753952375
50325611,P25929,7.136677139879544
86475,P41595,5.3400001801593495
50449595,P34972,4.642065152999546
50366573,P30543,4.756961951313706
50499237,P11214,2.9999995657057354
50539142,Q5U3Y7,7.251811972993799
85918,P04566,7.580044251510242
127410,P42336,8.987162775294827
50338538,P12268,7.42021640338319
359848,Q06187,7.00436480540245
50168639,P41968,6.1487416512809245
50212292,P41145,8.853871964321762
50536466,P00734,4.200659450546418
50101427,P23576,6.91721462968355
50187625,P31424,6.958607314841775
50470489,P0DMS8,4.543633966870957
50138112,Q9Y5N1,8.173925197299173
463638,P29597,8.301029995663981
228045,P56817,6.530177984021837
50107601,P20272,5.999565922520681
50315628,P30542,7.126098402135539
50131682,P00915,5.016824927962187
309178,P26572,5.000043431619808
50401673,P28223,5.558147824226708
50147751,P00915,7.091514981121351
384959,O00408,7.1249387366083
50332034,P00915,3.9999956570768953
50170346,P34972,6.1073489661227
259,P42574,6.6777807052660805
50016270,Q60492,4.68670237391313
50055097,P29274,6.102372908709558
50198753,P41144,5.872895201635192
15138,P68400,5.259637310505756
50035306,P19327,8.698970004336019
50080219,P07384,7.244125144327507
50184807,Q15139,4.999956572723137
50507823,Q16790,7.481486060122112
355458,O00408,8.346787486224656
50336418,P42336,9.0
314588,P56718,7.795880017344075
138485,P28223,7.501689446210399
50237710,Q9H2G2,4.999956572723137
50049909,P00374,9.69897000433602
50320471,P49684,8.387216143280265
50163425,P25099,6.600326278518962
50199790,P21917,5.200659450546418
300754,P08473,7.449771646944906
50511053,Q9NQS5,8.397940008672037
355100,O00408,8.920818753952375
50058324,P34969,7.376750709602099
50242149,P00918,4.999956572723137
234269,P98073,9.275724130399212
50401550,P32246,6.399996913372259
50492062,P30542,4.999956572723137
50056218,Q13526,5.866461091629782
50294070,Q9Y5N1,7.369572124974976
12663,P00760,5.601886308269497
50408807,P97583,5.0
21267,P34972,5.619788758288394
50468922,P00918,6.2225731776106885
50029186,Q9GZQ6,5.300943145452332
494377,Q9NWZ3,7.1249387366083
50454310,O43570,7.721246399047171
331807,P36888,8.301029995663981
50321203,P06401,7.180456064458131
50072926,P30542,4.752026733638194
50276869,P25099,7.397940008672037
50230198,P22748,8.080921907623926
50300015,Q9UGN5,8.096910013008056
387074,P00742,7.522878745280337
50023643,P00469,5.246416941107094
50079939,P32305,7.568636235841012
256789,P56817,9.0
50184433,P14416,7.675717544702307
50153971,Q16790,9.82390874094432
50324765,P00734,4.602042619896112
50092595,Q16790,7.619788758288394
50076185,P51617,7.173925197299173
50004516,P50406,4.69015699528393
103809,P20309,10.0
50289532,P07477,6.455931955649724
50502831,P07711,6.199970640755866
24773,P41240,4.999956572723137
50230377,P47936,5.999565922520681
50133137,P06401,8.193820026016112
50343786,P35462,7.995678626217357
50066708,P20272,7.39040559077478
50175469,P08908,8.522878745280337
50370540,P29274,5.999565922520681
256794,P56817,7.537602002101044
22837,P23141,4.257274868695302
86911,P09483,7.468521082957745
50176504,P29466,7.267606240177031
50017452,P28223,5.990001269951939
159213,Q99523,6.543633966870956
294925,O43613,7.619788758288394
50020680,P08588,4.999956572723137
50082883,P35368,6.494850021680094
420793,Q13535,8.045757490560675
121459,P14416,6.724205085368997
50315589,P30543,5.779891911959945
50361312,P30542,7.920818753952375
277460,O60674,10.0
50306457,P21918,7.050609993355087
50503808,P22748,10.207608310501746
50221519,P00533,6.443697499232712
50191638,P08908,8.67778070526608
50086581,P21236,3.9999956570768953
50355499,O14757,8.00436480540245
50138005,P41144,7.229147988357855
27097,P09874,7.431798275933005
50052532,P35462,8.585026652029182
50491825,O43570,5.818156412055227
50343729,P25929,7.657577319177793
37758,P25090,4.39468417745458
84987,P31391,7.0
364561,P35372,10.2518119729938
50509539,P09382,2.8239087409443187
50281563,P06767,9.30102999566398
50202565,P29274,5.769551078621726
50001986,P08908,5.999565922520681
50154210,P41145,6.580044251510242
50429563,P47900,6.838631997765026
315971,Q12809,5.000043431619808
50112203,P16083,9.744727494896694
50087683,P35370,8.481486060122112
4552,Q6PHR2,6.337242168318426
50533482,P53350,4.195179321278838
133945,P41145,7.790484985457369
50094270,P14842,6.767003889607846
405963,P35968,5.795880017344075
50541335,Q07820,5.267606240177031
359872,Q06187,7.00436480540245
50094494,P35222,5.3872161432802645
50352358,Q9QYN8,9.530177984021837
50302215,P14416,6.657577319177793
50311134,P08246,5.124880834537432
50396142,P41594,7.886056647693163
50496475,P00918,4.301021309861201
50315192,P35367,8.508638306165727
50270224,P09958,6.995678626217357
50351490,P43119,4.999956572723137
