drug_id,prot_id,affinity
CHEMBL200381,P24723,9.497940009
CHEMBL1964290,P06239,11.699999383
CHEMBL1997275,P52333,11.400000202
CHEMBL1996048,Q07912,12.199999035
CHEMBL337027,P17252,13.497940009
CHEMBL1998159,P42679,11.800000504
CHEMBL1997007,P07949,12.199999035
CHEMBL2005886,Q9HBY8,11.1
CHEMBL1992581,P34947,11.500000186
CHEMBL1965988,P35916,14.400162274
CHEMBL1982924,Q13976,11.800000504
CHEMBL1998585,P49760,11.500000186
CHEMBL1970369,P27448,11.300000237
CHEMBL1984038,Q9HBY8,11.200000128
CHEMBL2003638,P06241,12.499996913
CHEMBL2005631,O14965,14.299970641
CHEMBL1242378,P42338,11.289095719
CHEMBL1982610,P68400,11.900000875
CHEMBL1998545,P11309,11.1
CHEMBL1986979,P00519,12.299998172
CHEMBL1983393,O95819,12.299998172
CHEMBL1998953,Q06187,11.300000237
CHEMBL1979577,Q96PF2,11.900000875
CHEMBL1890036,Q00535,11.1
CHEMBL1991138,O14920,11.599999679
CHEMBL1973483,Q9Y4K4,11.200000128
CHEMBL2005886,P06241,13.699980365
CHEMBL1972250,P24941,11.200000128
CHEMBL1981720,P31751,11.200000128
CHEMBL2007151,Q5VT25,11.999998417
CHEMBL2005718,Q14680,15.1
CHEMBL1984586,O60674,11.900000875
CHEMBL95692,Q9HCP0,11.300000237
CHEMBL1970317,P07948,14.299970641
CHEMBL1987910,Q13976,11.800000504
CHEMBL1967302,Q86V86,13.000008766
CHEMBL392642,P51451,11.900000875
CHEMBL1982957,P06213,11.900000875
CHEMBL289959,P29597,10.800000069
CHEMBL1998414,O75116,11.200000128
CHEMBL1973098,Q9HBH9,12.499996913
CHEMBL1983449,Q05513,11.200000128
CHEMBL1990821,P24941,11.200000128
CHEMBL1967302,Q9H2G2,11.300000237
CHEMBL1967544,P23443,12.599996932
CHEMBL437885,P28482,11.1
CHEMBL338155,P00533,12.685026652
CHEMBL210928,P28482,11.177758728
CHEMBL1975647,Q05397,11.900000875
CHEMBL1973483,Q06418,11.800000504
CHEMBL1966628,Q9UEE5,13.600038134
CHEMBL2003482,P05129,11.200000128
CHEMBL1242753,P78527,11.515668776
CHEMBL1983449,O14757,11.200000128
CHEMBL1682341,O96017,11.400000202
CHEMBL1965423,P16591,11.900000875
CHEMBL1978448,Q9UEE5,11.500000186
CHEMBL1972220,P35968,14.999629455
CHEMBL398951,P53350,11.200000128
CHEMBL1979855,P51955,11.1
