drug_id,prot_id,affinity
CHEMBL373751,Q14164,6.100003911
CHEMBL1975121,P51617,11.650000064
CHEMBL1969049,Q9Y243,11.200000128
CHEMBL2004438,Q05655,11.200000128
CHEMBL1994538,P08069,11.800000504
CHEMBL1972937,P51451,11.900000875
CHEMBL1230122,P04626,11.900000875
CHEMBL1994321,Q05655,11.200000128
CHEMBL1972576,Q9NWZ3,11.1
CHEMBL1971801,P28482,11.200000128
CHEMBL1989029,P17948,12.799991797
CHEMBL1967094,P00519,12.299998172
CHEMBL1983980,P16234,11.999998417
CHEMBL1990254,P27448,11.35000022
CHEMBL513846,P35968,11.200000128
CHEMBL2005186,Q06418,11.800000504
CHEMBL1975418,Q96GD4,12.799991797
CHEMBL2000508,Q9Y4K4,11.200000128
CHEMBL244378,Q9Y4K4,13.1
CHEMBL1970340,P49760,10.800000069
CHEMBL306380,P31749,11.200000128
CHEMBL2003638,P49760,13.899970733
CHEMBL1991434,P42685,11.699999383
CHEMBL1614705,Q9HBH9,11.1
CHEMBL1981079,Q15303,11.500000186
CHEMBL1987007,P49840,11.200000128
CHEMBL1979357,P29597,11.800000504
CHEMBL2006156,Q8N4C8,12.1
CHEMBL1975500,Q8NE63,11.200000128
CHEMBL1993781,Q96GD4,11.300000237
CHEMBL1972934,Q04912,10.499999968
CHEMBL1990254,Q8N4C8,11.800000129
CHEMBL2004771,P68400,11.300000237
CHEMBL1988872,Q9HAZ1,12.399997603
CHEMBL1095626,P06241,10.401029995999998
CHEMBL2002599,Q04912,11.500000186
CHEMBL2002682,Q9Y4K4,11.599999679
CHEMBL1222044,P31749,10.1
CHEMBL1997617,Q8TDC3,11.599999679
CHEMBL1986590,P50750,11.900000875
CHEMBL1983715,Q06418,13.1
CHEMBL2205766,P51617,11.1
CHEMBL1967544,P06241,12.199999035
CHEMBL1236126,Q9NYL2,11.200000128
CHEMBL437747,P00533,11.800000504
CHEMBL2005828,Q9H3Y6,11.900000875
CHEMBL1973720,Q96GD4,12.699997654
CHEMBL2001957,Q86V86,11.200000128
CHEMBL1982660,P41743,11.400000202
CHEMBL2004892,Q06418,11.800000504
CHEMBL2005528,P49137,11.200000128
CHEMBL213505,Q96GD4,12.799991797
CHEMBL101683,P06493,11.1
CHEMBL1977135,P43405,11.900000875
CHEMBL1949788,P08069,10.401029995999998
CHEMBL194498,P17948,13.869551079
CHEMBL1988370,P28482,11.200000128
CHEMBL377408,Q9Y463,11.699999383
CHEMBL1983640,Q04912,11.500000186
CHEMBL2004290,P31751,11.200000128
CHEMBL1968070,P24941,12.299998172
CHEMBL1982383,Q8N4C8,11.400000202
CHEMBL1967544,O14965,11.900000875
CHEMBL386637,P04629,13.844727495
CHEMBL1966279,P15735,11.400000202
CHEMBL338956,P22694,12.622878745
