drug_id,prot_id,affinity
CHEMBL1242032,P78527,12.148662481
CHEMBL1973893,Q13188,11.200000128
CHEMBL207815,P12931,11.1
CHEMBL1976196,P45984,11.500000186
CHEMBL2002446,Q8N4C8,12.1
CHEMBL326282,P29317,11.200000128
CHEMBL1993904,P08069,11.800000504
CHEMBL583144,Q9Y6M4,11.300000237
CHEMBL199210,P12931,11.622878745
CHEMBL519697,Q9NWZ3,11.500000186
CHEMBL98350,P04626,11.213943352
CHEMBL1270230,P50750,12.504503778
CHEMBL1999112,P51957,11.599999679
CHEMBL2002323,P51812,11.200000128
CHEMBL1983268,P17948,12.199999035
CHEMBL1976328,P24941,11.200000128
CHEMBL2006674,O60674,11.699999383
CHEMBL2000393,Q05397,12.599996932
CHEMBL23254,Q02156,10.1
CHEMBL1996111,P17948,12.499996913
CHEMBL379849,Q9Y478,10.437242168
CHEMBL1980715,O14757,11.200000128
CHEMBL515982,P12931,10.1
CHEMBL2002322,P06239,11.699999383
CHEMBL1978014,P10721,11.999998417
CHEMBL1986970,P35916,11.300000237
CHEMBL1967887,O60674,11.900000875
CHEMBL1987034,Q96KB5,11.1
CHEMBL56983,P17252,10.401029995999998
CHEMBL1969523,Q9P1W9,11.900000875
CHEMBL1975647,Q16288,11.999998417
CHEMBL1982476,P00533,11.999998417
CHEMBL1967878,Q13555,12.899998135
CHEMBL1973540,Q9Y243,11.1
CHEMBL1190711,O43293,11.999998417
CHEMBL1990904,Q13153,11.1
CHEMBL560813,Q14012,11.400000202
CHEMBL1982135,O00444,11.999998417
CHEMBL2006237,Q13557,11.300000237
CHEMBL2006836,P06493,11.200000128
CHEMBL2000408,P51451,11.900000875
CHEMBL1190711,Q9H3Y6,11.900000875
CHEMBL1968151,P45983,11.599999679
CHEMBL1990212,P24941,11.300000237
CHEMBL1624529,Q9P1W9,11.900000875
CHEMBL1983348,P36888,11.800000504
CHEMBL1994074,P24941,11.300000237
CHEMBL1974457,Q7KZI7,11.200000128
CHEMBL1976196,Q16288,11.599999679
