drug_id,prot_id,affinity
CHEMBL1461728,Q9HBY8,11.1
CHEMBL491758,O75582,11.800000504
CHEMBL2003524,Q05655,11.200000128
CHEMBL1972849,Q13131,11.900000875
CHEMBL1974803,Q05655,11.200000128
CHEMBL377383,Q13555,11.300000237
CHEMBL590109,Q13627,12.608045176
CHEMBL260092,O60674,12.699997654
CHEMBL1995740,Q13464,11.1
CHEMBL2004892,P48729,11.300000237
CHEMBL539474,O00444,12.1
CHEMBL1985406,P08581,11.599999679
CHEMBL1999414,P17948,14.600312917
CHEMBL1982383,P45984,12.799991797
CHEMBL1991725,P29597,11.800000504
CHEMBL1986328,P42685,11.699999383
CHEMBL316264,P28482,11.200000128
CHEMBL481491,P49137,11.200000128
CHEMBL2000354,Q13188,11.200000128
CHEMBL1985888,P06239,12.599996932
CHEMBL1975787,O96017,12.499996913
CHEMBL1970217,P15735,11.400000202
CHEMBL302449,Q9P1W9,11.900000875
CHEMBL1971534,Q9UQM7,10.200000019
CHEMBL1970903,P04626,11.900000875
CHEMBL1979718,Q08881,11.900000875
CHEMBL360847,Q04771,11.500000186
CHEMBL1997007,Q8IU85,11.699999383
CHEMBL1992645,Q13188,11.200000128
CHEMBL508928,O15075,11.1
CHEMBL1979252,Q9P1W9,11.900000875
CHEMBL2004544,Q7L7X3,11.500000186
CHEMBL523823,P24941,11.183509653
CHEMBL1993781,P53667,11.1
CHEMBL1835870,P36888,15.334260541
CHEMBL2001920,Q14289,11.900000875
CHEMBL2004365,P23443,11.300000237
CHEMBL1991725,Q16620,11.400000202
CHEMBL2002613,P49336,13.600038134
CHEMBL1978448,P15735,11.800000504
CHEMBL2001923,P23443,11.300000237
CHEMBL208292,O14757,11.1
CHEMBL1977135,Q96GD4,11.300000237
CHEMBL1981047,Q5VT25,11.1
CHEMBL220241,P28482,11.200000128
CHEMBL357490,P80192,13.541198654
CHEMBL1969879,P10721,11.999998417
CHEMBL95539,P41743,11.622878745
CHEMBL1967878,Q9NR20,11.200000128
CHEMBL1978567,P36507,11.500000186
CHEMBL296682,P06493,12.844727495
CHEMBL363648,P04626,12.1
CHEMBL2000029,Q13464,14.500116928
CHEMBL1997129,Q9Y243,11.1
CHEMBL1965988,Q13153,11.599999679
CHEMBL2007097,P48729,10.599999953
CHEMBL1970314,P07948,11.900000875
CHEMBL2000801,Q06187,11.999998417
CHEMBL7775,P42684,10.401029995999998
CHEMBL2205766,P08581,11.1
CHEMBL1994724,O60674,11.699999383
CHEMBL1979252,P06213,11.400000202
CHEMBL184847,P07949,13.8000571
CHEMBL1987359,Q9HBY8,11.1
CHEMBL2004438,P51812,11.400000202
CHEMBL2007574,Q13464,14.600312917
CHEMBL1992723,P35968,10.700000074999998
CHEMBL17370,P36888,11.699999383
CHEMBL1973720,O60674,12.199999035
CHEMBL60254,P05129,14.088686474
CHEMBL592030,Q5S007,12.699997654
CHEMBL606964,P21802,13.136212173
CHEMBL50894,Q13554,11.200000128
CHEMBL2007574,Q13627,14.400162274
CHEMBL2007421,Q05397,13.600038134
CHEMBL1964644,P49841,12.799991797
CHEMBL202635,Q00535,11.1
CHEMBL1958401,P49841,12.799991797
CHEMBL210928,Q16566,11.165501549
CHEMBL1999590,P28482,11.200000128
CHEMBL1975418,O14757,11.200000128
CHEMBL1970340,Q9Y4K4,11.200000128
CHEMBL1982957,O75116,13.299970641
CHEMBL1980297,Q13464,12.711282032
CHEMBL1461728,Q16513,11.200000128
CHEMBL2000801,Q06418,11.800000504
CHEMBL1682553,O75116,13.193543322
CHEMBL1999590,P51617,11.200000128
CHEMBL1998545,O96013,11.400000202
CHEMBL1241473,Q9HBH9,11.1
CHEMBL1965988,P24941,11.699999383
CHEMBL2002736,O43293,11.400000202
CHEMBL93559,Q05513,10.020818754
CHEMBL1682546,P48730,11.200000128
CHEMBL1981045,O14757,13.8000571
CHEMBL1242373,Q8TDC3,11.599999679
CHEMBL1999774,O43293,11.999998417
CHEMBL2002479,Q9BWU1,10.1
CHEMBL1965387,O14757,11.599999679
CHEMBL1983640,Q13464,12.299998172
CHEMBL350143,Q05513,12.622878745
CHEMBL1972576,O14965,15.299970641
CHEMBL1992922,P05129,11.300000237
CHEMBL1994074,Q9BWU1,10.1
CHEMBL1970735,Q9Y4K4,11.699999383
CHEMBL1999496,P30530,11.800000504
CHEMBL1975418,P04629,11.699999383
CHEMBL2006580,Q8NE63,11.200000128
CHEMBL2002479,Q8N4C8,11.500000186
CHEMBL1982361,Q9NR20,11.200000128
CHEMBL560813,P49841,11.599999679
CHEMBL2000335,Q9Y4K4,14.700326279
CHEMBL1999112,P49137,11.200000128
CHEMBL1971649,P24941,11.200000128
CHEMBL1969523,P49841,12.199999035
CHEMBL1970709,P51957,11.300000237
CHEMBL1965387,Q00535,11.599999679
CHEMBL1974875,Q05397,10.400000029
CHEMBL1982122,O15075,11.1
CHEMBL1993941,P06241,13.8000571
CHEMBL7929,Q05513,9.401029995999998
CHEMBL1965570,O15075,11.1
CHEMBL2005886,O15264,11.200000128
CHEMBL1996500,P36507,11.500000186
CHEMBL1997534,P05129,12.799991797
CHEMBL225519,P23443,11.800000504
CHEMBL1979855,P51812,11.200000128
CHEMBL2002702,P31749,11.200000128
CHEMBL1969502,P78368,11.200000128
CHEMBL2006785,P49760,11.200000128
CHEMBL1969042,Q05397,11.900000875
CHEMBL461876,Q02750,11.599999679
CHEMBL1973937,O94806,11.599999679
CHEMBL2002165,P51617,11.200000128
CHEMBL1997822,Q9BWU1,10.1
CHEMBL513846,Q86V86,12.599996932
CHEMBL340921,P05129,11.400000202
CHEMBL53826,P05771,10.497940009
CHEMBL1375640,P36888,11.699999383
CHEMBL2007372,Q9NR20,11.200000128
CHEMBL2001547,P43405,11.900000875
CHEMBL131456,P41743,10.1
CHEMBL1995811,Q9UQM7,11.500000186
CHEMBL1994321,Q08881,11.900000875
CHEMBL2004447,Q16288,11.999998417
CHEMBL2004692,P49137,11.200000128
CHEMBL2006299,Q05397,11.300000237
CHEMBL1966279,Q13237,11.900000875
CHEMBL8271,P00533,10.1
CHEMBL1996390,P28482,11.200000128
CHEMBL1997846,Q5VT25,13.500007822
CHEMBL1987009,P29317,11.599999679
CHEMBL2002165,P43405,13.200015437
CHEMBL382638,P53779,11.1
CHEMBL1964692,P45983,11.599999679
CHEMBL1972849,Q08881,11.900000875
CHEMBL1989474,Q9BZL6,11.1
CHEMBL2000078,Q16513,11.400000202
CHEMBL1802358,P49759,13.224938737
CHEMBL1984044,P29317,11.200000128
CHEMBL1995211,P49841,12.299998172
CHEMBL1419458,P28482,11.200000128
CHEMBL407914,O94806,11.497940009
CHEMBL1986186,P16591,11.900000875
CHEMBL1976872,P17948,11.500000186
CHEMBL1992740,P53778,11.300000237
CHEMBL394619,P08922,11.800000504
CHEMBL1989805,Q9Y243,11.1
CHEMBL1975418,P28482,13.000008766
CHEMBL1980896,Q96GD4,13.200015437
CHEMBL1979516,Q8N4C8,11.400000202
CHEMBL2005936,Q9BZL6,11.300000237
CHEMBL2004311,O43293,11.999998417
CHEMBL1190711,P41743,11.400000202
CHEMBL1995736,P51617,11.200000128
CHEMBL443962,P23443,11.300000237
CHEMBL207718,Q13131,11.1
CHEMBL1974288,P08581,11.599999679
CHEMBL1989474,O43781,11.300000237
CHEMBL2005899,O43781,11.300000237
CHEMBL1971289,P11309,12.499996913
CHEMBL1988153,Q9H2X6,11.699999383
CHEMBL378627,P27361,11.136212173
CHEMBL1982506,O95819,11.500000186
CHEMBL1996111,Q05397,11.900000875
CHEMBL2000801,O95819,11.1
CHEMBL1966808,Q9BZL6,11.1
CHEMBL2005186,O14757,11.200000128
CHEMBL1989805,P45983,11.599999679
CHEMBL1975503,Q04759,10.1
CHEMBL1986139,P51451,11.900000875
CHEMBL1965170,O14757,11.599999679
CHEMBL1969506,Q15303,11.500000186
CHEMBL1998585,Q05397,13.200015437
CHEMBL1980297,P36888,13.899970733
CHEMBL2001751,Q9BZL6,13.899970733
CHEMBL1994724,O14965,12.799991797
CHEMBL1996155,P27448,11.300000237
CHEMBL44,P28482,11.213943352
CHEMBL1242656,Q9UBF8,11.491473966
CHEMBL1982880,Q9Y243,11.1
CHEMBL1988594,P08069,11.800000504
CHEMBL1994538,P51955,11.1
CHEMBL2002599,Q00535,11.599999679
CHEMBL1991674,Q8N4C8,14.500116928
CHEMBL1965507,Q9BZL6,11.300000237
CHEMBL2004934,Q16644,11.1
CHEMBL2005936,P51817,13.399988938
CHEMBL1994538,Q96GD4,11.300000237
CHEMBL81315,O15111,10.798970004
