drug_id,prot_id,affinity
103904937,STK12,7.7
103905461,RET,4.1
103904469,PRKX,7.3
103905546,PAK1,5.2
103905242,RPS6KA3,5.1
103904565,MAPK1,6.3
103905368,RET,6.5
103904775,PRKX,5.8
103904601,TAO1,5.5
103904359,PRKCD,5.1
103904742,NTRK1,8.1
103905145,CAMK2D,5.5
103905474,GSK3A,4.0
103904516,RPS6KA5,7.0
103904740,MAPK8,5.5
103904987,CSNK1G3,5.6
103904904,TAO1,5.4
103904347,HIPK4,6.4
103904597,LYN,6.6
103904448,TOPK,6.4
103904327,KDR,6.0
103905536,CSF1R,6.1
103905034,RET,7.2
103905531,FGFR3,7.4
103904556,RPS6KB1,7.6
103904310,CSNK1D,5.5
103904358,TAO1,5.9
103905117,SGK,6.0
103904662,PAK1,5.9
103905651,MAP2K1,5.0
103904316,FLT3,8.3
103904348,PLK4,6.6
103904272,AXL,8.8
103904379,FLT1,7.2
103904458,CDK8,6.8
103905605,SGK,5.4
103904884,CDK5,6.6
103905652,ACVR1,4.9
103905113,CHUK,5.7
103905196,RPS6KA3,5.4
103904754,CSNK1G3,5.9
103904647,ZAK,5.2
103904469,PRKD2,6.2
103904226,CDK2,7.4
103905034,PLK4,6.3
103904892,PRKCN,5.7
103904219,CLK4,8.3
103905121,PRKX,6.0
103905615,PDGFRB,5.8
103905301,HIPK2,5.8
103905251,RET,6.8
103904951,PRKACA,5.9
103904882,HIPK2,7.4
103904523,PAK4,6.1
103904468,FLT3,6.2
103904209,CDC42BPA,5.1
103904633,STK12,8.7
103904189,CAMK2D,7.2
103904602,NEK4,6.0
103904477,FLT4,5.5
103904285,CSNK1G1,5.9
103905456,PRKAA1,4.1
103905095,LCK,6.8
103904305,LYN,7.0
103904746,MINK,5.5
103904555,DYRK3,6.0
103905260,DYRK3,7.1
103904419,MAPKAPK5,6.1
103904269,NEK2,7.0
103905613,LRRK2,6.0
103905531,FGFR1,7.4
103904381,ROCK1,6.5
103904370,JAK3,5.9
103904408,CSF1R,6.3
103904522,CDK5,6.8
103904592,BLK,7.3
103904806,TAO1,5.8
103905079,ROCK2,6.5
103904216,PRKCG,6.6
103905446,ROCK1,5.8
103905179,LIMK1,5.6
103905091,FYN,7.5
103904198,LRRK2,6.0
103905175,CDC7,5.9
103905371,CDC42BPA,6.3
103904462,MAPK9,5.9
103904742,BLK,6.8
103905472,DYRK1A,5.6
103904648,CAMK2B,5.9
103904324,STK3,6.9
103904354,TYRO3,7.0
103904603,FGFR1,6.6
103904204,PRKCD,6.5
103905684,PRKCG,5.2
103904636,PRKAA1,6.1
103904613,HIPK2,8.4
103904377,PIM1,5.0
103904479,PHKG2,6.1
103905077,IRAK1,6.6
103905641,PLK4,5.9
103905456,CAMK2A,4.1
103904486,GSK3A,6.6
103904282,ROCK1,6.2
103905559,HIPK2,5.8
103904913,CDC7,6.1
103905183,STK12,5.6
103905077,DYRK1A,6.2
103904808,WEE1,6.0
103904983,MST1R,6.5
103904444,LYN,6.4
103905187,ROCK2,5.3
103905622,PLK4,6.6
103905089,MAP4K4,5.4
103905146,CLK4,7.5
103904594,STK6,7.9
103904679,TYRO3,4.5
103905484,PIM1,5.7
103905539,PDPK1,5.7
