drug_id,prot_id,affinity
103904426,FGFR3,6.0
103904807,PRKACA,5.9
103905577,MAP4K5,6.4
103904594,STK12,8.0
103905045,CAMK2D,5.3
103904647,DYRK3,6.2
103905610,PRKAA1,6.8
103904799,PIM1,5.6
103905043,DAPK3,6.1
103904295,MARK2,5.5
103904865,STK6,6.3
103904530,STK6,6.1
103905269,AKT1,5.4
103904598,PLK4,8.5
103904250,CLK4,8.2
103904731,PAK4,5.4
103904579,GSK3B,4.1
103905577,DYRK3,6.0
103904299,FYN,7.0
103905053,PIM1,6.1
103904566,ROCK1,7.6
103904478,RPS6KA4,7.7
103905241,PIM3,5.4
103905557,JAK3,6.6
103904197,NTRK3,6.8
103904648,PIM1,5.6
103904999,MAPK1,6.8
103904403,CLK4,7.1
103904190,HIPK2,7.4
103905208,PLK4,5.4
103905413,STK6,6.1
103905072,CLK4,5.7
103904445,ABL1,6.5
103904886,CSNK2A1,6.9
103905685,CLK4,6.4
103904648,IRAK4,5.9
103905303,CSNK2A1,6.1
103905678,RPS6KB1,5.6
103905034,GSK3B,5.3
103905544,RET,5.6
103905525,ABL1,7.2
103904739,DAPK3,6.6
103905109,CLK4,5.9
103905531,MAPK12,6.7
103905503,STK12,5.9
103904314,CHEK2,6.3
103904326,PASK,5.9
103904547,DYRK3,5.5
103904195,FRK,6.8
103904489,JAK2,7.3
103904651,ROCK1,7.1
103904352,MARK3,6.2
103904962,STK6,5.9
103904502,MAP4K5,6.8
103904527,GSK3B,7.4
103904600,HCK,6.7
103905573,MAP4K2,5.8
103904285,PLK4,6.7
103905500,LIMK1,4.1
103904316,ABL1,6.9
103904290,SRC,7.6
103904338,LCK,6.3
103904347,FLT4,6.4
103905531,ACVR1,7.2
103904884,RPS6KB1,5.8
103904688,CAMK2D,5.3
103904884,IRAK4,5.5
103904504,PLK4,5.7
103904310,PDPK1,6.1
103904418,RET,8.2
103905026,BLK,6.7
103905132,GSK3B,5.7
103904209,FLT4,5.5
103904685,INSR,5.5
103904527,PIM3,6.5
103904502,NTRK3,7.7
103905529,LIMK1,4.3
103905313,LRRK2,6.6
103905281,STK12,5.7
103905428,EPHA2,5.5
103904339,CSNK1G3,6.1
103905115,CLK4,6.0
103905004,LCK,7.0
103904970,PRKX,6.4
103905531,PRKAA1,9.5
103905491,MARK3,5.1
103904912,HIPK2,7.2
103905298,GSK3B,6.1
103905327,CAMK1D,4.4
103904250,MAP4K4,8.0
103905089,LIMK1,5.7
103904422,MAP4K5,5.7
103905084,SYK,5.8
103904562,AKT1,5.5
103904596,ERBB4,6.9
103904970,DYRK3,5.7
103905412,CHEK1,4.6
103905204,CLK4,5.1
103904191,MAP4K4,7.3
103904275,CSF1R,8.7
103905001,IRAK1,6.1
103905180,MAP4K4,5.4
103904352,IRAK1,5.4
103904428,LRRK2,5.6
103904290,INSR,6.0
103904195,CSF1R,6.4
103904366,DYRK3,6.9
103904712,CSNK2A1,5.9
103905620,RET,5.8
103904885,ROCK1,5.3
103905212,ROCK1,6.5
103904302,HIPK2,5.6
103904355,PRKG2,6.5
103905122,PRKACA,5.0
103905648,ACVR1,5.9
103905575,FGFR3,5.8
103905590,STK3,6.1
103904478,CLK4,8.3
103905274,ABL1,4.1
103904434,MAP4K2,6.0
103904554,CLK4,6.9
103905608,NTRK3,6.6
103905509,FLT4,6.4
103905110,NTRK3,6.0
103905620,MAP2K1,5.6
103904279,PDPK1,6.4
103904237,GSK3B,6.9
103905366,MAPKAPK3,6.2
103905206,LIMK1,5.9
103905357,PIM1,5.9
103905075,LCK,5.9
103905110,RET,5.6
103905371,STK6,6.1
103904594,PLK4,7.7
103904597,EPHA2,6.9
103904462,MAP2K1,6.5
103904403,INSR,5.9
103905670,PHKG2,7.8
103904197,MAPK12,5.6
103905585,MAPKAPK3,5.8
103905657,ROCK1,5.7
103905670,MARK2,6.7
103904861,FGFR1,6.1
103905121,CLK4,6.7
103904515,PRKAA1,6.5
103904567,FLT4,5.7
103904189,PRKAA1,6.9
103905152,MAP4K2,5.3
103905343,ERBB4,6.8
103905274,GSK3B,4.2
103904202,TOPK,6.2
103905033,JAK3,6.0
103904339,RPS6KA4,6.6
103905042,CSNK2A1,5.4
103905212,CAMK2D,5.6
103904605,CAMK2D,7.5
103904493,CLK4,7.9
103904222,STK3,6.6
103905668,MAP4K4,6.4
103904189,ROS1,6.8
103904277,FGFR1,7.7
103904637,CSNK1A1,5.9
103904650,RPS6KB1,5.7
103904966,PIM1,5.8
103904356,DYRK3,5.5
103905167,CSNK1A1,7.5
103905670,FYN,6.6
103904479,CHEK1,5.2
103904282,FGFR1,6.2
103904315,MKNK2,5.7
103905578,DAPK3,6.5
103904330,PHKG2,5.8
103904905,MAP4K2,5.8
103904685,IRAK1,5.6
103904742,MARK3,6.5
103905631,CHEK1,6.0
103904255,PRKX,7.7
103905531,ABL1,7.0
103904191,PRKCZ,5.8
103905026,CAMK1D,5.6
103905604,NTRK1,6.4
103904977,JAK2,5.6
103905033,FLT4,6.6
103904211,CLK2,5.9
103905167,PLK4,6.1
103904596,WEE1,6.9
103904743,LIMK1,6.3
103905149,GSK3B,6.7
103904346,EPHA2,7.0
103904497,GSK3B,5.6
103905206,STK6,5.4
103904316,SRC,6.1
103905041,CHEK2,6.9
103904712,FRK,5.8
103905113,RPS6KB1,6.8
103904363,RET,7.1
103904605,PRKACA,7.8
103905026,PRKAA1,6.6
103904357,LIMK1,5.0
103905087,STK12,5.6
103905311,PRKACA,4.3
103904224,PRKX,6.5
103905208,PHKG2,6.5
103904513,MARK3,6.1
103904344,STK6,7.3
103904449,AKT1,6.3
103904335,FGFR1,5.9
103904373,FLT4,9.5
103905035,BLK,6.6
103904197,RPS6KB1,5.6
103904505,PRKX,7.3
103904478,PIM3,6.9
103905670,PTK2B,6.9
103905295,CLK4,7.1
103904190,PRKAA1,7.4
103904422,ZAK,5.4
103905092,BTK,6.0
103904596,JAK2,8.4
103904873,STK3,6.8
103904565,RPS6KB1,6.2
103905509,HIPK2,6.6
103905173,IRAK1,5.4
103904299,FLT4,9.5
103905631,PIM1,5.6
103905142,RPS6KB1,5.2
103904335,JAK3,5.9
103904535,MAP4K2,5.7
103904526,CDK5,5.6
103905650,CSNK1G3,6.2
103905601,MAP2K1,4.3
103905091,LIMK1,6.0
103904601,MARK3,5.8
103904908,GSK3B,6.2
103905528,CAMK1D,4.6
103904275,PLK4,6.9
103904231,STK3,6.8
103904590,DAPK3,7.1
103904289,STK3,6.3
103904484,MAPK12,6.0
103905111,JAK3,7.7
103904743,PRKACA,5.8
103904504,CAMK2D,5.4
103905111,GPRK5,6.3
103904194,MAP4K4,6.8
103904191,CHEK1,5.8
103904781,MAP2K1,6.6
103905386,MAPK1,5.2
103905041,LIMK1,5.6
103905389,RPS6KB1,6.0
103904855,FLT4,6.8
103904596,PDPK1,6.0
103904490,PRKACA,6.2
103904429,CSF1R,7.1
103904209,MAP4K5,6.4
103905302,STK12,5.3
103905248,PRKAA1,5.9
103904322,MARK3,6.2
103905596,CLK4,5.9
103904191,CSNK1A1,5.4
103904221,HIPK2,7.6
103904320,INSR,6.7
103905004,STK6,6.8
103904967,AKT2,5.1
103904213,SGK,5.3
103904686,MKNK2,5.3
103905246,FGFR1,5.6
103905611,LIMK1,4.9
103905521,STK6,6.4
103904359,HIPK2,5.7
103904337,ROCK1,5.6
103904739,MAP4K2,7.4
103905371,STK12,5.6
103904275,FRK,6.9
103904286,ABL1,7.0
103904504,PRKACA,5.3
103904560,PRKACA,6.9
103904202,GSK3B,6.7
103904235,MAP4K2,6.9
103905578,NTRK1,6.3
103905443,HIPK2,5.5
103905026,CLK2,6.0
103904289,KIT,8.7
103905119,PLK4,5.6
103905026,ACK1,7.5
103905318,PIM3,5.4
103905158,GSK3B,6.5
103905049,DAPK3,6.8
103905050,SGK,5.4
103904993,FGFR1,5.9
103904377,NTRK3,6.2
103904330,RPS6KB1,7.3
103904593,ABL1,6.3
103905119,PIM3,5.4
103904326,ACVR1,6.6
103905670,FES,6.9
103904357,DCAMKL1,5.1
103904483,MAP4K4,6.0
103905042,MAPK1,5.3
103904673,SYK,5.9
103904784,ROCK1,6.5
103905318,MKNK2,5.2
103905260,MAP4K2,5.7
103904912,CSNK2A1,7.8
103904462,RET,8.3
103904321,FGFR3,8.3
103905233,SYK,7.9
103904403,SYK,6.4
103905414,STK12,5.8
103904619,GSK3B,5.9
103904320,PAK4,5.9
103904515,PLK4,6.6
103904214,PLK4,6.6
103904195,LCK,6.1
