drug_id,prot_id,affinity
103905213,PRKCN,5.9
103905264,CSNK1G3,5.7
103905001,ZAK,5.3
103904977,DYRK1A,5.9
103905048,CDC2,6.0
103904947,MARK2,5.6
103905274,CLK2,4.7
103904514,IRAK4,5.2
103905325,CDK8,5.5
103904533,FLT3,6.5
103904225,PKN2,6.9
103904220,PRKCN,7.1
103904644,CAMK2A,5.3
103904598,MAP4K2,6.4
103904448,STK12,6.4
103904558,ROCK1,7.8
103904743,PLK1,6.3
103904203,ITK,6.2
103905271,PAK1,5.1
103904763,PRKD2,6.2
103905443,MINK,5.4
103904810,MARK3,5.5
103904867,LTK,5.1
103904474,RPS6KA3,5.3
103904610,INSR,6.1
103904995,STK6,5.5
103905371,ROCK2,5.5
103904442,PRKCN,5.5
103905343,IRAK4,6.0
103904748,STK12,8.6
103904754,MELK,8.3
103905603,PRKCN,5.8
103904854,PRKCN,4.8
103904598,FLT3,7.4
103904704,BTK,5.5
103904491,ROCK2,7.6
103905248,MELK,6.6
103904504,SLK,6.2
103905270,GSK3B,6.3
103905548,PDGFRA,5.9
103904549,ROCK2,5.7
103904418,RPS6KA3,5.2
103905434,PRKCG,5.4
103905416,CLK4,4.8
103905301,STK12,5.5
103905676,AKT1,5.4
103905095,TYK2,5.8
103904778,PRKD2,5.1
103904515,PRKCG,5.6
103904490,HIPK2,5.7
103904331,NEK2,5.4
103904484,CAMK2G,7.9
103905461,STK6,4.3
103905272,RET,8.1
103904190,FLT3,8.2
103905220,IKBKE,5.5
103905472,PRKCD,7.3
103904319,MAP4K2,6.0
103905326,CDK7,6.7
103904272,MAP4K2,8.1
103905309,PRKCN,5.7
103904478,PRKX,6.2
103905614,CAMK2A,5.4
103905670,DYRK3,6.0
103904348,SLK,7.2
103904644,JAK2,7.8
103904527,DAPK3,7.3
103905271,CSNK1G1,5.3
103905536,ITK,6.4
103904304,MAP4K5,8.1
103904354,TAO1,6.7
103905648,MAP3K10,6.4
103905004,RET,8.1
103905329,CDK8,5.2
103905496,STK22B,6.3
103904657,NEK2,5.3
103905598,PRKD2,6.0
103904290,MET,7.1
103905327,STK12,4.5
103905570,SLK,6.9
103905531,PDGFRB,9.1
103904253,ROCK1,7.1
103905177,PDGFRB,6.1
103905539,PAK4,5.6
103904811,FYN,6.2
103904592,FGFR1,7.0
103904330,CSNK1G1,5.5
103904600,DYRK4,5.8
103904528,GSK3B,7.2
103905560,CDK9,6.4
103904196,CDC2,5.4
103905213,PAK4,6.2
103904300,ROCK1,6.4
103905372,RET,6.5
103904204,STK3,6.0
103905208,DAPK3,7.6
103904526,PRKACA,5.8
103905215,FLT3,6.7
103905315,CSF1R,6.4
103904939,PRKX,6.4
103904592,MET,6.0
103904865,CAMK1D,6.0
103904289,TAO1,5.6
103905010,ABL1,5.6
103905095,CSF1R,7.5
103904562,AKT1,5.5
103905605,JAK2,6.1
103904614,CDK8,6.3
103904610,SLK,6.0
103904610,GSK3B,5.7
103904806,PRKD2,6.9
103905471,DYRK1A,5.5
103905308,IGF1R,6.2
103905531,PLK1,5.9
103904473,CAMK2B,5.6
103904598,MET,6.6
103904223,PAK4,7.0
103905378,CAMK2G,5.6
103905085,IRAK1,5.1
103904419,MAP4K2,5.9
103905581,MAP4K5,5.3
103904319,RET,7.0
103905297,MAPK8,4.5
103904592,CHEK2,7.5
103904198,PRKAA1,4.3
103905095,PLK4,6.1
103904953,JAK3,7.6
103904189,SRMS,6.1
103904403,PKN2,5.8
103904198,LTK,5.4
103905683,STK3,5.4
103905424,EGFR,7.3
103905446,PDGFRB,6.7
103905496,EGFR,6.6
103905323,RET,5.9
103904230,PAK4,6.8
103904688,PIM1,5.7
103905439,CSF1R,4.1
103905098,LIMK1,6.1
103905260,MAPK8,6.5
103904450,MAPKAPK3,5.8
103905409,CSNK1G3,5.2
103904194,NEK2,5.2
103905226,FLT3,6.2
103905531,PRKAA1,9.5
103905608,ABL1,8.6
103904467,PRKD2,5.1
103904270,TYRO3,5.9
103905173,IRAK1,5.4
103904962,PIM1,5.5
103904789,MINK,5.1
103904862,RET,6.7
103905270,PLK3,6.0
103904658,DAPK3,5.9
103904983,FLT4,5.7
103904254,DAPK3,6.6
103905085,PIM3,5.4
103904290,AXL,8.2
103904596,IRAK1,6.5
103904636,PRKX,5.5
103904336,MATK,5.7
103905076,RPS6KA3,5.5
103904708,IKBKE,5.9
103904684,CDK7,6.6
103904212,DYRK3,5.5
103904939,PRKCZ,6.0
103904787,CAMK1,5.9
103904315,PTK2,6.5
103905235,STK6,7.3
103905128,PIM3,6.6
103904346,TAO1,5.3
103905684,PRKD2,5.9
103905489,STK6,6.6
103904984,DYRK1A,9.1
103905092,MINK,6.0
103905684,MAPK1,7.2
103905668,ABL1,6.4
103904341,NEK4,5.8
103905073,GSK3A,4.4
103904999,SGK,6.0
103904289,HIPK2,6.5
103904811,CLK2,5.4
103905177,FLT1,5.7
103904754,DCAMKL1,6.0
103905094,DYRK1A,5.3
103905008,ROCK1,5.0
103905308,STK6,5.8
103904684,PHKG2,6.0
103904950,CAMK2B,5.2
103905632,BLK,7.4
103904206,GSK3A,5.6
103905654,LIMK1,4.7
103904552,RPS6KA3,5.8
103904861,PDGFRB,5.8
103904523,MELK,6.5
103905208,CAMK2B,5.6
103905458,CLK2,5.2
103904365,PLK3,6.7
103904504,STK6,5.8
103904807,FLT3,7.0
103904880,MAPK8,5.6
103905208,CSNK1A1,5.3
103905509,AXL,5.8
103905472,IRAK1,6.1
103904443,SLK,5.9
103904598,KIAA1811,7.3
103904194,FLT4,5.4
103905324,PRKAA1,5.5
103904977,PAK4,5.4
103905301,NEK4,5.6
103904819,ZAK,5.3
103904512,AKT1,5.8
103904253,CDK8,7.2
103904339,MINK,5.3
103904214,INSR,5.7
103904276,NTRK2,7.2
103904329,FLT3,8.8
103904341,LIMK1,5.6
103904361,FGFR1,6.0
103905208,DYRK1A,7.7
103904295,PIM1,5.3
103904742,FLT1,8.9
103904963,FLT3,7.0
103905488,PRKCG,6.3
103904562,PKN2,6.5
103904504,STK12,6.5
103904856,STK12,7.1
103904350,ROCK2,6.3
103905147,MAP4K5,6.0
103904355,CDC2,7.5
103904504,DCAMKL1,6.5
103905238,NTRK1,6.5
103904938,CHEK2,7.5
103904321,FGFR1,7.7
103904890,KIAA1811,5.0
103904785,PAK4,5.5
103905247,ALK,7.9
103905108,GSK3A,5.6
103904417,IGF1R,7.6
103904320,PHKG2,5.8
103905326,IKBKE,6.0
103904339,ROCK2,6.5
103905297,CAMK1D,4.7
103904484,SRPK1,5.9
103904999,MAP4K2,5.7
103905219,MARK3,5.3
103904649,NEK4,6.4
103904404,NTRK2,6.3
103905317,CAMK2A,5.5
103904232,PRKCN,8.0
103905046,MAP4K2,5.7
103904702,STK17A,7.2
103904232,SYK,5.8
103904854,ALK,4.4
103905503,TAO1,5.6
103905309,ALK,5.9
103905112,IRAK1,5.7
103904763,PRKCG,5.2
103905213,MET,5.6
103905562,ERBB4,6.3
103904597,PLK3,5.2
103904411,ERBB4,8.3
103904743,FGFR3,6.0
103905263,AKT1,6.1
103904304,MET,6.5
103904936,CDK7,6.0
103904739,NEK4,6.7
103904190,PIM1,6.9
103904275,MAP4K2,5.6
103904341,PTK2,6.7
103904470,STK3,6.6
103904310,NTRK2,8.2
103905231,IRAK1,5.1
103904473,AKT3,5.2
103905206,PRKD2,5.4
103905536,ZAK,5.9
103905123,TYRO3,4.6
103905214,NTRK2,5.5
103904868,ABL1,5.4
103904594,ITK,5.8
103904708,CLK4,6.3
103904504,FLT1,6.4
103905585,AKT1,5.7
103905169,CSNK1A1,5.3
103904749,CSNK1A1,5.2
103904329,STK12,8.0
103904649,DYRK1A,7.4
103905642,FYN,5.7
103904960,PRKCN,6.4
103904192,NTRK2,6.3
103905578,NTRK3,6.0
103904623,STK12,8.7
103905499,MAP4K2,4.4
103905604,RET,5.9
103905187,STK6,5.2
103905607,MAP4K2,6.4
103905454,CLK4,5.9
103904672,AKT1,5.3
103904779,EGFR,5.8
103905608,BLK,7.4
103904789,BLK,6.5
103905110,PRKCN,6.1
103904348,GSK3B,5.5
103905187,MAPK8,8.5
103904960,CAMK1,5.5
103905648,MARK2,6.0
103905007,CLK2,5.3
103905531,ALK,8.3
103904195,RPS6KA3,6.0
103904976,PRKACA,4.5
103904367,DYRK1A,5.2
103905560,GSK3B,6.2
103904457,STK12,6.0
