drug_id,prot_id,affinity
103904984,TOPK,5.5
103904999,STK6,7.0
103904442,DAPK3,5.1
103905508,RET,4.9
103904292,PTK2B,7.2
103904528,CSNK1G2,6.0
103905478,PIM2,6.0
103904593,ABL1,6.3
103905113,FGFR1,6.0
103905250,ALK,6.5
103905191,MAPK1,6.2
103904776,PRKD2,5.2
103904470,PIM1,8.0
103904204,MINK,8.2
103905206,KDR,5.9
103904283,NTRK2,7.1
103905046,MAP4K4,5.9
103905377,CAMK2D,5.8
103904828,NTRK3,6.1
103904782,CLK4,6.1
103904470,AKT2,6.3
103905274,RPS6KA3,4.1
103904683,DYRK3,6.3
103904990,RET,6.9
103905658,GSK3A,6.9
103905272,STK12,6.9
103904565,PRKCG,6.0
103905620,NTRK3,5.9
103904466,MAPK13,6.0
103905084,STK12,5.9
103904278,ABL1,6.2
103904303,LCK,6.5
103904970,CHUK,5.8
103904984,GSK3B,8.2
103904336,MAP4K4,6.4
103905245,RET,6.0
103904362,HIPK4,7.4
103905274,CSNK1A1,4.3
103905086,TAO1,5.8
103904279,PDPK1,6.4
103904794,PRKD2,5.8
103904191,ROCK2,6.1
103904771,CSNK1A1,5.7
103905557,JAK2,6.4
103904223,MINK,6.2
103904889,PIM1,5.2
103904479,PRKX,9.0
103905091,LCK,7.1
103904798,CAMK2B,5.3
103905208,PRKD2,5.4
103904784,ROCK2,7.3
103905085,EGFR,6.5
103904411,SRC,6.6
103904569,CDC7,6.9
103905560,PAK4,5.3
103905256,PRKACA,5.9
103905300,GSK3A,5.4
103905455,FRK,8.4
103904205,TYK2,6.5
103904637,ACK1,5.7
103904600,PLK3,7.3
103904368,PLK3,5.2
103904645,CSF1R,6.1
103905670,SLK,7.1
103905011,CSF1R,5.8
103905483,CSNK1G3,5.8
103905559,AKT1,5.1
103904324,KDR,8.9
103904766,PRKD2,5.9
103904411,ERBB2,8.4
103904739,ABL1,6.6
103905260,MAPK1,6.4
103904302,SGK,5.4
103905459,CSNK2A1,6.4
103904815,STK6,6.1
103905252,CSNK1A1,5.5
103905639,CSF1R,6.9
103904428,MAP4K2,5.6
103904220,MAP4K5,6.4
103905025,PRKCN,6.0
103904275,JAK2,5.9
103905608,PTK2,7.6
103904987,MAPK1,5.1
103905232,KDR,4.1
103904277,ITK,6.4
103904686,ALK,6.0
103905553,ALK,5.8
103904529,CDK8,5.5
103905437,DYRK1A,5.8
103904419,LCK,8.6
103905674,FLT4,5.5
103904272,PLK4,8.0
103904785,NTRK1,6.7
103904765,MAPK8,6.7
103904738,PIM2,6.3
103904977,NTRK2,5.6
103905487,LYN,6.9
103904292,AKT2,5.1
103905431,ABL1,4.1
103905604,FLT1,5.7
103904711,ROCK1,5.3
103904302,BLK,6.4
103904616,PRKCN,6.4
103904883,SRPK1,5.9
103904232,CSNK1A1,6.4
103904965,CDC2,5.5
103905326,CDK5,6.5
103905532,ITK,7.6
103904724,ROCK2,5.9
103904754,CDC7,6.6
103904352,CAMK2B,5.3
103905111,ACVR1,5.5
103904293,MAP4K4,7.5
