drug_id,drug_smile
BW-B70C,CC(C=CC1=CC(=CC=C1)OC2=CC=C(C=C2)F)N(C(=O)N)O
honokiol,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
HDAC3-selective,
VU-0418947-2,
importazole,CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCCC4
acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N
tetrahydrobiopterin,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
oxybuprocaine,CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N
suloctidil,CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O
rhapontin,COC1=C(C=C(C=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O
leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
spiramide,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F
CGK-733,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-]
LY-2183240,CN(C)C(=O)N1C(=NN=N1)CC2=CC=C(C=C2)C3=CC=CC=C3
naftidrofuryl,CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32
erastin,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl
NPI-2358,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
bemesetron,CN1C2CCC1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl
calmidazolium,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl
tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
zolmitriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3
thioperamide,C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3
MRS-1220,C1=CC=C(C=C1)CC(=O)NC2=NC3=C(C=C(C=C3)Cl)C4=NC(=NN42)C5=CC=CO5
dephostatin,CN(C1=C(C=CC(=C1)O)O)N=O
nalbuphine,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O
azacitidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
NSC-94258,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O
quinisocaine,CCCCC1=CC2=CC=CC=C2C(=N1)OCCN(C)C
5-methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN
nefopam,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3
tetrindole,C1CCC(CC1)C2=CC3=C(C=C2)N4CCNC5C4=C3CCC5.Cl
anabasine,C1CCNC(C1)C2=CN=CC=C2
erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
BX-912,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br
L-655708,CCOC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)OC
fulvestrant,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
estropipate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O.C1CNCCN1
vinpocetine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
beta-CCP,CCCOC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2
acepromazine,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
