dataset,setting,num_folds,mse_mean,mse_std,rmse_mean,rmse_std,ci_mean,ci_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std
davis,warm,5,0.22725340000000002,0.014827181738280544,0.47650879999999995,0.015517409745186214,0.8848412,0.007465185007754341,0.715865,0.016296043384821976,0.8479806,0.009096757763071395,0.685522,0.005372612120747197
davis,novel-drug,5,0.6893124,0.08101417279896156,0.829138,0.04799282852156141,0.6932048,0.02384509025355114,0.10912859999999999,0.09004609625797223,0.42596740000000005,0.08572964819302595,0.36348640000000004,0.04964209684632591
davis,novel-prot,5,0.4975524,0.10671288648190526,0.702438,0.07187815887667127,0.8021714000000001,0.01275555825120954,0.36054559999999997,0.11569273591198369,0.6248978,0.06906350870901362,0.5494624,0.06222567186700356
davis,novel-pair,5,0.7244066,0.08539187007145355,0.8499664000000001,0.049538913596283055,0.690364,0.02367738567705479,0.16007939999999998,0.07836898705036323,0.43079900000000004,0.06644119824702142,0.3630324,0.044707809298823835
kiba,warm,5,0.161901,0.004614311974715188,0.4023372,0.005710742613706206,0.8718058,0.005249265586727355,0.7688218,0.0067590764679799345,0.8782384000000001,0.002797403313789438,0.8622068,0.007615520251433928
kiba,novel-drug,5,0.3610584,0.038829697697767354,0.6001948,0.03210799754266838,0.7705564,0.01320750342797607,0.49213120000000005,0.0453503564120504,0.7121028,0.029814877162249058,0.6790263999999999,0.02656659726611596
kiba,novel-prot,5,0.3044166,0.02182596200170795,0.5514612,0.01960115801936201,0.7788872,0.021287570028070357,0.5712492,0.04613964151031086,0.7705118000000001,0.018569575862146123,0.6965002,0.05156347577210056
kiba,novel-pair,5,0.5261818,0.03376904569572557,0.725087,0.023198370384576603,0.6572674000000001,0.02016728795103596,0.21762120000000001,0.07455748382087476,0.5106400000000001,0.04243437544609323,0.42542559999999996,0.04794024247226958
metz,warm,5,0.3237628,0.008062619716940646,0.568966,0.007105170546862339,0.7976586,0.005934855920744816,0.6476900000000001,0.012425270017186735,0.8115026000000001,0.006428690986507257,0.7651886,0.009647874626051062
metz,novel-drug,5,0.52922,0.05403816218655111,0.7267346,0.03669309162907915,0.7289044,0.005943290612110451,0.4098344,0.03786949460713728,0.6685628,0.021404605011538957,0.6127958,0.012335148791157751
metz,novel-pair,5,0.6921854,0.038086092885724045,0.8317247999999999,0.022887013254245282,0.6720599999999999,0.012284290170783172,0.274831,0.03904277851280567,0.5418464000000001,0.030390080886697233,0.47465720000000006,0.02759686179079063
